LYBNo|SaleDate|ShopCode|SalesMemoNo|GTIN|GTINDescription|QuantitySold|NetSales|ExtractionDate
LYB005561782|2024-02-22|0343|212011219|15536|PADS REUSABLE BAMBOO & COTTON 7PCS A0X|1.0|66.75|2024-02-22
LYB008409900|2024-02-22|0507|25104914|15535|HAND CREAM BRITISH ROSE 30ML A0X RENO 2021|1.0|26.25|2024-02-22
LYB004521839|2024-02-22|0310|129036727|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010883439|2024-02-22|0341|19509574|328|2023 GENERIC MATCH BOX SIZE XL (TBS POD & BCORP LOGO)|1.0|0.0|2024-02-22
LYB000827610|2024-02-22|0332|63013661|14562|OOL SLEEPING CREAM 80ML A0X 2021|1.0|156.75|2024-02-22
LYB000687261|2024-02-22|0907|4708315|20018|DEODORANT ROLL ON ALOE 50ML RENO AX 2022|1.0|38.25|2024-02-22
LYB000681975|2024-02-22|0399|93013318|34540|BODY LOTION OLIVE 200ML A0X RENO 2023|1.0|53.0|2024-02-22
LYB006759232|2024-02-22|0411|151020869|27003|NIGHT CREAM VITAMIN E 50ML A0X RENO 2023|1.0|71.25|2024-02-22
LYB002301578|2024-02-22|0349|45011118|98052|EDT BRITISH ROSE 100ML RENO A0X 2021|1.0|81.75|2024-02-22
LYB010708156|2024-02-22|0607|81015815|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB002053477|2024-02-22|0502|32011177|16670|FACE BASE TEA TREE COMPACT FOR LIFE A0X (Casing only)|1.0|39.2|2024-02-22
LYB001709816|2024-02-22|0364|26303205|15655|FACIAL ROLLER XM21 ARX|1.0|84.15|2024-02-22
LYB009960431|2024-02-22|0710|86016489|37702|MASSAGE OIL LAV & VETIVER CALM 100ML A0X|1.0|149.0|2024-02-22
LYB007735130|2024-02-22|0332|63013675|325|2023 GENERIC MINI GIFT PAPER BAG|1.0|0.5|2024-02-22
LYB010883545|2024-02-22|0368|135025093|19994|EDT CHOICE VIBRANT BERGAMOT 50ML A0X|1.0|159.0|2024-02-22
LYB009473722|2024-02-22|8805|57010428|98139|EDT WHITE MUSK 60ML A0X RENO 2021|1.0|100.0|2024-02-22
LYB007397640|2024-02-22|0355|9506443|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB002010685|2024-02-22|0350|178027102|33262|SHOWER GEL BRITISH ROSE 60ML A0X RENO 2023|1.0|16.5|2024-02-22
LYB007302640|2024-02-22|0710|86016499|97370|BODY BUTTER SHEA 200ML RENO A0X 2021|1.0|100.3|2024-02-22
LYB001931707|2024-02-22|0332|63013665|26074|SHOWER GEL OLIVE 750ML A0X RENO 2022|3.0|220.5|2024-02-22
LYB010473700|2024-02-22|0411|151020880|26768|TONER ALOE 250ML A0X RENO 2023|1.0|67.15|2024-02-22
LYB004590486|2024-02-22|0504|2760458|18637|MESH POUCH HONEY A0|1.0|0.0|2024-02-22
LYB001577235|2024-02-22|0606|145014490|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|2.33|2024-02-22
LYB004327482|2024-02-22|0352|124015977|18663|EDT CHOICE GLOWING CHERRY BLOSSOM 50ML A0X|1.0|135.15|2024-02-22
LYB001931707|2024-02-22|0332|63013665|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB006900207|2024-02-22|0364|26303216|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB003848395|2024-02-22|0389|244017468|42731|SHOWER GEL LOVE & PLUM 250ML A0X RENO 2023|1.0|33.75|2024-02-22
LYB010883837|2024-02-22|0364|26303213|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB009511475|2024-02-22|0413|113011305|18124|BEARD OIL CEDAR & SAGE 30ML A0X 2021|1.0|69.15|2024-02-22
LYB010883420|2024-02-22|0345|43020530|97393|BODY LOTION SHEA 200ML A0X RENO 2021|1.0|53.0|2024-02-22
LYB005233719|2024-02-22|0315|128021812|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB001247990|2024-02-22|0303|25014443|27109|MULTI-PROTECTION LIGHT ESS SKIN DEFENCE SPF50 PA++++ 60ML AX RENO 2023|1.0|126.75|2024-02-22
LYB003779633|2024-02-22|0909|9908733|337|2023 XMAS MINI GIFT PAPER BAG|2.0|1.0|2024-02-22
LYB004578961|2024-02-22|0412|52021218|25600|DEODORANT ANTIPER BLUE MUSK ZEST 50ML AX|1.0|36.75|2024-02-22
LYB001577235|2024-02-22|0606|145014488|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB002151584|2024-02-22|0368|137030549|18637|MESH POUCH HONEY A0|1.0|0.0|2024-02-22
LYB010508097|2024-02-22|0909|9908739|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|0.0|2024-02-22
LYB007645024|2024-02-22|0345|43020543|97368|BODY BUTTER OLIVE 200ML RENO A0X 2021|1.0|94.4|2024-02-22
LYB002426284|2024-02-22|8806|231011211|34540|BODY LOTION OLIVE 200ML A0X RENO 2023|1.0|60.0|2024-02-22
LYB004654580|2024-02-22|0505|2680803|19984|BODY MIST CHOICE VIBRANT BERGAMOT 100ML A0X|1.0|67.5|2024-02-22
LYB000315805|2024-02-22|0503|18808338|14563|DAY CREAM BRIGHTENING DOL 50ML A0H 2021|1.0|143.2|2024-02-22
LYB001126527|2024-02-22|0712|2660723|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB001160983|2024-02-22|0333|24023541|14563|DAY CREAM BRIGHTENING DOL 50ML A0H 2021|1.0|164.0|2024-02-22
LYB002010685|2024-02-22|0350|178027102|17954|CONCENTRATE EDELWEISS 30ML A1A|1.0|171.75|2024-02-22
LYB005233719|2024-02-22|0315|128021812|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB009133028|2024-02-22|0331|24203289|97523|SHOWER GEL MORINGA 250ML A0X RENO 2022|1.0|42.0|2024-02-22
LYB006673118|2024-02-22|0363|24606173|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB010884173|2024-02-22|0403|12202134|25656|SHOWER CREAM ALMOND MILK 60ML A0X RENO 2022|1.0|16.5|2024-02-22
LYB004792011|2024-02-22|0712|2660721|26962|TONER HYDRATING VITAMIN E 250ML A0X RENO 2023|1.0|59.25|2024-02-22
LYB002170400|2024-02-22|0327|21014784|97375|BODY BUTTER BRITISH ROSE 50ML RENO A0X 2021|1.0|31.5|2024-02-22
LYB000724261|2024-02-22|0908|14306450|17074|FACE BASE TEA TREE MEDIUM 2N 9G A0X (Refill)|1.0|92.65|2024-02-22
LYB003750504|2024-02-22|0342|123015431|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB002520784|2024-02-22|0907|4708323|20018|DEODORANT ROLL ON ALOE 50ML RENO AX 2022|1.0|30.0|2024-02-22
LYB007912582|2024-02-22|0412|52021226|98050|EDT STRAWBERRY 30ML RENO 2021|1.0|59.25|2024-02-22
LYB010628081|2024-02-22|0606|145014482|19363|SHOWER GEL BRITISH ROSE 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB003779633|2024-02-22|0909|9908733|97393|BODY LOTION SHEA 200ML A0X RENO 2021|1.0|60.0|2024-02-22
LYB009297247|2024-02-22|0315|121019165|97895|CONDITIONER SHEA 250ML A0X RENO 2021|1.0|29.0|2024-02-22
LYB004300184|2024-02-22|0607|81015806|98073|BODY MIST VANILLA 100ML RENO A0X 2021|1.0|54.0|2024-02-22
LYB002151584|2024-02-22|0368|137030549|328|2023 GENERIC MATCH BOX SIZE XL (TBS POD & BCORP LOGO)|1.0|0.0|2024-02-22
LYB000889188|2024-02-22|0903|25903782|98049|EDT SHEA 30ML RENO 2021|1.0|59.25|2024-02-22
LYB001009974|2024-02-22|0331|24203290|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|22.0|2024-02-22
LYB009443572|2024-02-22|0333|24023561|325|2023 GENERIC MINI GIFT PAPER BAG|1.0|0.0|2024-02-22
LYB008758811|2024-02-22|0345|43020540|17954|CONCENTRATE EDELWEISS 30ML A1A|1.0|183.2|2024-02-22
LYB010884304|2024-02-22|0368|137030561|37698|BODY POLISH ECLYP & RSMRY FLOW 200ML A0X |1.0|152.15|2024-02-22
LYB010396942|2024-02-22|0706|141017424|42010|HAND CREAM SATSUMA 30ML A0X RENO 2023|1.0|35.0|2024-02-22
LYB010883651|2024-02-22|0702|153017420|16670|FACE BASE TEA TREE COMPACT FOR LIFE A0X (Casing only)|1.0|36.75|2024-02-22
LYB008300060|2024-02-22|0504|2760454|23573|SHOWER GEL STRAWBERRY 250ML A0X RENO 2022|1.0|35.0|2024-02-22
LYB006317948|2024-02-22|0904|4607956|26554|CLEANSER CREAM ALOE 125ML RENO 2023|1.0|59.25|2024-02-22
LYB000543408|2024-02-22|0310|129036732|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|16.5|2024-02-22
LYB010013128|2024-02-22|0602|73012877|26076|SHOWER GEL SATSUMA 750ML A0X RENO 2022|1.0|83.3|2024-02-22
LYB010883183|2024-02-22|8806|231011207|328|2023 GENERIC MATCH BOX SIZE XL (TBS POD & BCORP LOGO)|1.0|0.0|2024-02-22
LYB008212212|2024-02-22|0503|18808333|38333|DAILY SOLUTION TEA TREE 50ML AX RENO 2023|5.0|483.75|2024-02-22
LYB008103710|2024-02-22|0310|129036735|20018|DEODORANT ROLL ON ALOE 50ML RENO AX 2022|3.0|101.25|2024-02-22
LYB010883712|2024-02-22|0411|151020887|33587|SHAMPOO GINGER 400ML A21X RENO 2023|1.0|56.25|2024-02-22
LYB002348463|2024-02-22|0315|121019169|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB009541096|2024-02-22|0507|25104913|25036|CLEANSING BAR FOR FACE & BODY ALMOND MILK 100G AOX|1.0|26.25|2024-02-22
LYB010884049|2024-02-22|0903|25903780|23580|SHOWER GEL OLIVE 250ML A0X RENO 2023|1.0|31.5|2024-02-22
LYB004327482|2024-02-22|0352|124015977|97150|EDT BLACK MUSK 60ML A0X RENO 2021|1.0|143.65|2024-02-22
LYB006317948|2024-02-22|0904|4607958|33591|CONDITIONER GINGER 250ML A0X RENO 2023|1.0|59.0|2024-02-22
LYB008824770|2024-02-22|0606|145014485|33438|OIL TEA TREE 10ML A0X RENO 2023|1.0|49.0|2024-02-22
LYB002324287|2024-02-22|0317|88014396|33534|SHAMPOO TEA TREE 400ML A0X 2023|2.0|127.5|2024-02-22
LYB002014876|2024-02-22|0610|64014041|17961|CONCENTRATE EDELWEISS 50ML A1A|1.0|216.75|2024-02-22
LYB005561782|2024-02-22|0343|212011219|96078|FILE A FOOT M1 2018|2.0|58.5|2024-02-22
LYB009656015|2024-02-22|0507|25104894|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010628832|2024-02-22|0342|123015433|19972|HAND CREAM VNLLA PMPKN 30ML 2023 A0X|1.0|29.25|2024-02-22
LYB000724261|2024-02-22|0908|14306450|16670|FACE BASE TEA TREE COMPACT FOR LIFE A0X (Casing only)|1.0|41.65|2024-02-22
LYB002426284|2024-02-22|8806|231011211|15545|PUMP REFILLS RETAIL A0X|1.0|7.5|2024-02-22
LYB008640442|2024-02-22|0349|45011130|98043|EDT VANILLA 30ML RENO 2021|1.0|59.25|2024-02-22
LYB007259470|2024-02-22|0909|9908738|97895|CONDITIONER SHEA 250ML A0X RENO 2021|1.0|59.0|2024-02-22
LYB002525813|2024-02-22|0706|141017433|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|0.0|2024-02-22
LYB010579493|2024-02-22|0507|25104915|26979|GEL CREAM VITAMIN E 50ML A0X RENO 2023|1.0|73.15|2024-02-22
LYB002234665|2024-02-22|0608|6207494|18358|CALMING POST-SHAVE GEL MACA ROOT ALOE 160ML A0X 2021|1.0|67.15|2024-02-22
LYB009852248|2024-02-22|0710|86016490|27837|MOISTURE CREAM VIT E 100ML A0X RENO 2023 (x)|1.0|104.25|2024-02-22
LYB001931707|2024-02-22|0332|63013665|24709|DRY BODY OIL ARGAN 125ML A0 RENO 2023|1.0|88.5|2024-02-22
LYB002123022|2024-02-22|0328|39016768|15665|OOL DAY CREAM 50ML A0X 2022|2.0|268.5|2024-02-22
LYB009656015|2024-02-22|0507|25104894|37049|BODY YOGURT PINK GRPFRT 200ML A0X RENO 2023|1.0|60.0|2024-02-22
LYB010883484|2024-02-22|0363|24606166|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|16.5|2024-02-22
LYB002520784|2024-02-22|0907|4708324|97150|EDT BLACK MUSK 60ML A0X RENO 2021|1.0|124.0|2024-02-22
LYB003779633|2024-02-22|0909|9908733|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|0.0|2024-02-22
LYB001247990|2024-02-22|0303|25014443|97393|BODY LOTION SHEA 200ML A0X RENO 2021|1.0|53.0|2024-02-22
LYB009739707|2024-02-22|0706|141017426|37511|TONER TEA TREE 250ML A0X 2023 (x)|1.0|48.75|2024-02-22
LYB010596171|2024-02-22|0706|141017438|33590|CONDITIONER GINGER 400ML A0X RENO 2023|1.0|63.75|2024-02-22
LYB005943834|2024-02-22|0359|23014889|26077|SHOWER GEL PINK GRAPEFRUIT 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB002578143|2024-02-22|0343|212011208|23574|SHOWER GEL BRITISH ROSE 250ML A0X RENO 2022|1.0|35.7|2024-02-22
LYB000337223|2024-02-22|0412|52021217|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB004016498|2024-02-22|0315|128021816|31286|HAND BALM SHEA 30ML A0X RENO 2023|1.0|28.0|2024-02-22
LYB000906236|2024-02-22|0345|43020532|98074|EDT ARBER 100ML 2022|1.0|169.0|2024-02-22
LYB004521839|2024-02-22|0310|129036727|26962|TONER HYDRATING VITAMIN E 250ML A0X RENO 2023|1.0|59.25|2024-02-22
LYB010533570|2024-02-22|0720|98027088|37701|PILLOW MIST LAV & VETIVER (CALM) 100ML A0X|1.0|96.75|2024-02-22
LYB002418489|2024-02-22|0411|151020877|33546|SHAMPOO MORINGA 250ML A0X RENO 2023|1.0|44.25|2024-02-22
LYB008758501|2024-02-22|0368|137030558|15535|HAND CREAM BRITISH ROSE 30ML A0X RENO 2021|1.0|28.0|2024-02-22
LYB000681975|2024-02-22|0399|93013318|98052|EDT BRITISH ROSE 100ML RENO A0X 2021|1.0|92.65|2024-02-22
LYB007668630|2024-02-22|0328|39016764|26860|FACE CLEANSER WASH SEAWEED 125ML A0X RENO 2023|1.0|67.15|2024-02-22
LYB000855419|2024-02-22|0344|11405055|33607|CONDITIONER GINGER 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010884076|2024-02-22|8903|5802403|25988|SHOWER GEL SATSUMA 60ML A0X RENO 2022|2.0|35.2|2024-02-22
LYB008409160|2024-02-22|0411|151020866|27837|MOISTURE CREAM VIT E 100ML A0X RENO 2023 (x)|1.0|104.25|2024-02-22
LYB010883837|2024-02-22|0364|26303213|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010765568|2024-02-22|0710|86016493|26025|SHAMPOO SHEA RENO 60ML A0X|2.0|44.0|2024-02-22
LYB001592012|2024-02-22|0610|64014044|26047|MOISTURISER GLOW-BOOSTING VIT C 50ML A0X 2022|1.0|179.0|2024-02-22
LYB006351979|2024-02-22|0334|94021494|96133|SHOWER SCRUB BRITISH ROSE 200ML A0X RENO 2022|1.0|47.2|2024-02-22
LYB006553708|2024-02-22|0315|121019167|37705|HAIR & BODY WASH LAV & VETIVER CALM 200ML A0X |1.0|79.2|2024-02-22
LYB004792011|2024-02-22|0712|2660721|16670|FACE BASE TEA TREE COMPACT FOR LIFE A0X (Casing only)|1.0|36.75|2024-02-22
LYB010883518|2024-02-22|0908|14306442|26960|FACE WASH VITAMIN E 125ML A0X RENO 2023|1.0|50.0|2024-02-22
LYB010883758|2024-02-22|0364|26303211|38284|BODY BUTTER PEAR 200ML XM23 A0X|1.0|129.0|2024-02-22
LYB007397640|2024-02-22|0355|9506442|97370|BODY BUTTER SHEA 200ML RENO A0X 2021|1.0|88.5|2024-02-22
LYB007084898|2024-02-22|0507|25104898|17998|MILKY ESSENCE EDELWEISS 150ML A0X|1.0|149.25|2024-02-22
LYB010884304|2024-02-22|0368|137030561|17961|CONCENTRATE EDELWEISS 50ML A1A|1.0|245.65|2024-02-22
LYB008379770|2024-02-22|0343|212011214|33590|CONDITIONER GINGER 400ML A0X RENO 2023|2.0|112.5|2024-02-22
LYB003086579|2024-02-22|0327|21014781|325|2023 GENERIC MINI GIFT PAPER BAG|1.0|0.0|2024-02-22
LYB010599868|2024-02-22|0904|4607963|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB010883794|2024-02-22|0327|21014778|25988|SHOWER GEL SATSUMA 60ML A0X RENO 2022|1.0|16.5|2024-02-22
LYB009256152|2024-02-22|0307|25403347|42731|SHOWER GEL LOVE & PLUM 250ML A0X RENO 2023|2.0|67.5|2024-02-22
LYB004515360|2024-02-22|0328|39016769|33590|CONDITIONER GINGER 400ML A0X RENO 2023|1.0|63.75|2024-02-22
LYB002348463|2024-02-22|0315|121019170|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB008574820|2024-02-22|0342|123015434|97363|BODY BUTTER BRITISH ROSE 200ML RENO A0X 2021|1.0|88.5|2024-02-22
LYB004792011|2024-02-22|0712|2660721|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB001051153|2024-02-22|0342|123015422|23583|SHOWER CREAM ALMOND MILK 250ML A0X RENO 2022|1.0|31.5|2024-02-22
LYB001126527|2024-02-22|0712|2660723|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB004817888|2024-02-22|K010|11805742|17271|SHOWER SCRUB BRITISH ROSE 50ML A0X RENO 2022|1.0|33.15|2024-02-22
LYB000436214|2024-02-22|0507|25104896|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB006278649|2024-02-22|0403|12202123|25988|SHOWER GEL SATSUMA 60ML A0X RENO 2022|1.0|17.6|2024-02-22
LYB010663853|2024-02-22|0345|43020546|34081|EDP FULL YLANG YLANG 75ML A0X|1.0|215.2|2024-02-22
LYB005676640|2024-02-22|0606|145014495|18689|EDT CHOICE WILD JASMINE 50ML A0X|1.0|159.0|2024-02-22
LYB009764952|2024-02-22|0503|18808335|23574|SHOWER GEL BRITISH ROSE 250ML A0X RENO 2022|1.0|35.7|2024-02-22
LYB001051153|2024-02-22|0342|123015422|23584|SHOWER CREAM SHEA 250ML A0X RENO 2022|1.0|31.5|2024-02-22
LYB004160902|2024-02-22|0506|13806932|259|2022 GENERIC MINI GIFT PAPER BAG|2.0|1.0|2024-02-22
LYB000436214|2024-02-22|0507|25104896|15665|OOL DAY CREAM 50ML A0X 2022|1.0|134.25|2024-02-22
LYB009375651|2024-02-22|0328|39016773|18226|TONER HYDRATING VIT E 250ML A0X 2022 (x)|1.0|49.0|2024-02-22
LYB010223813|2024-02-22|0903|25903784|20018|DEODORANT ROLL ON ALOE 50ML RENO AX 2022|1.0|33.75|2024-02-22
LYB010883448|2024-02-22|0345|43020531|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010238028|2024-02-22|0411|151020875|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB001724912|2024-02-22|0332|63013669|259|2022 GENERIC MINI GIFT PAPER BAG|1.0|0.5|2024-02-22
LYB000740010|2024-02-22|0310|129036713|15666|OOL EYE CREAM-GEL 20ML A0X 2022|1.0|120.0|2024-02-22
LYB010628081|2024-02-22|0606|145014482|23573|SHOWER GEL STRAWBERRY 250ML A0X RENO 2022|1.0|31.5|2024-02-22
LYB010869165|2024-02-22|0720|98027096|19976|DEODORANT WHITE MUSK 50ML A0X RENO 2022|1.0|36.75|2024-02-22
LYB006791177|2024-02-22|0610|64014051|98052|EDT BRITISH ROSE 100ML RENO A0X 2021|1.0|109.0|2024-02-22
LYB009949650|2024-02-22|0368|135025100|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB010417218|2024-02-22|0333|24023553|18681|EDT CHOICE BLISSFUL STRAWBERRY 50ML A0X|1.0|119.25|2024-02-22
LYB001709816|2024-02-22|0364|26303205|15964|LIP BALM SKIN DEFENCE SPF30 4G A0X|1.0|55.25|2024-02-22
LYB010447468|2024-02-22|0409|144021444|97024|OOL FACIAL OIL 30ML A0X 2021|1.0|194.65|2024-02-22
LYB004016498|2024-02-22|0315|128021816|15535|HAND CREAM BRITISH ROSE 30ML A0X RENO 2021|2.0|56.0|2024-02-22
LYB000554732|2024-02-22|0504|2760447|42731|SHOWER GEL LOVE & PLUM 250ML A0X RENO 2023|1.0|33.75|2024-02-22
LYB000809748|2024-02-22|0310|129036706|97523|SHOWER GEL MORINGA 250ML A0X RENO 2022|1.0|35.0|2024-02-22
LYB008938718|2024-02-22|0342|123015425|23573|SHOWER GEL STRAWBERRY 250ML A0X RENO 2022|1.0|35.7|2024-02-22
LYB010583742|2024-02-22|0363|24606174|98052|EDT BRITISH ROSE 100ML RENO A0X 2021|1.0|81.75|2024-02-22
LYB000822891|2024-02-22|0368|135025096|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|0.0|2024-02-22
LYB010883642|2024-02-22|0350|178027107|18079|HAND/NAIL TREATMENT ALMOND 1.8ML A0X 2022|1.0|51.75|2024-02-22
LYB007872930|2024-02-22|0402|5108166|17954|CONCENTRATE EDELWEISS 30ML A1A|1.0|183.2|2024-02-22
LYB004792011|2024-02-22|0712|2660721|16495|FACE BASE TEA TREE MEDIUM 2C 9G A0X (Refill)|1.0|81.75|2024-02-22
LYB008379770|2024-02-22|0343|212011214|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB002976044|2024-02-22|0329|2740210|98043|EDT VANILLA 30ML RENO 2021|1.0|67.15|2024-02-22
LYB000764135|2024-02-22|0606|145014496|10257|PERFUME OIL WHITE MUSK 8.5ML A0X RENO 2021|1.0|59.25|2024-02-22
LYB003402856|2024-02-22|0507|25104901|337|2023 XMAS MINI GIFT PAPER BAG|1.0|0.0|2024-02-22
LYB001423970|2024-02-22|0403|12202125|97152|EDT WHITE MUSK LEAU 60ML A0X RENO 2021|1.0|100.0|2024-02-22
LYB001424137|2024-02-22|0342|123015424|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB001724912|2024-02-22|0332|63013669|23547|SHOWER GEL SATSUMA 250ML A0X RENO 2023|2.0|63.0|2024-02-22
LYB004578961|2024-02-22|0412|52021218|97386|BODY BUTTER SHEA 50ML RENO A0X 2021|1.0|31.5|2024-02-22
LYB002255783|2024-02-22|0362|48012240|33590|CONDITIONER GINGER 400ML A0X RENO 2023|1.0|60.03|2024-02-22
LYB010618215|2024-02-22|0606|145014481|19363|SHOWER GEL BRITISH ROSE 750ML A0X RENO 2022|1.0|83.3|2024-02-22
LYB006317948|2024-02-22|0904|4607956|16790|LIP BALM SWIPE IT STRAWBERRY 6G A0X|1.0|51.75|2024-02-22
LYB002691693|2024-02-22|0359|23014882|33260|SHOWER CREAM SHEA 60ML A0X RENO 2022|1.0|18.7|2024-02-22
LYB010223813|2024-02-22|0903|25903784|25581|HAIR/BODY WASH BLUE MUSK ZEST 250ML A0X|1.0|66.75|2024-02-22
LYB000822891|2024-02-22|0368|135025096|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB009323205|2024-02-22|0343|212011212|98052|EDT BRITISH ROSE 100ML RENO A0X 2021|1.0|109.0|2024-02-22
LYB002893185|2024-02-22|0345|43020526|37700|BODY CREAM BALMY LAV & VETIVER CALM 200ML A0X |1.0|134.25|2024-02-22
LYB010140440|2024-02-22|0604|2710540|18959|HAIR SERUM GRAPESEED 60ML 2022|1.0|51.0|2024-02-22
LYB010320550|2024-02-22|0332|63013664|97513|BODY YOGURT MORINGA 200ML A0X RENO 2022|1.0|68.0|2024-02-22
LYB010883475|2024-02-22|0359|23014886|33262|SHOWER GEL BRITISH ROSE 60ML A0X RENO 2023|1.0|16.5|2024-02-22
LYB000140229|2024-02-22|0606|145014480|14562|OOL SLEEPING CREAM 80ML A0X 2021|1.0|156.75|2024-02-22
LYB001183203|2024-02-22|0310|129036726|26074|SHOWER GEL OLIVE 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB010320976|2024-02-22|0334|94021501|31401|HAND BALM ALMOND MILK 30ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010164778|2024-02-22|0368|135025097|15545|PUMP REFILLS RETAIL A0X|2.0|15.0|2024-02-22
LYB010247415|2024-02-22|0702|153017426|97895|CONDITIONER SHEA 250ML A0X RENO 2021|1.0|50.15|2024-02-22
LYB007370700|2024-02-22|0343|212011213|97373|BODY BUTTER PINK GRAPEFRUIT 50ML A0X 2021 RENO|1.0|31.5|2024-02-22
LYB004160902|2024-02-22|0506|13806932|23584|SHOWER CREAM SHEA 250ML A0X RENO 2022|1.0|31.5|2024-02-22
LYB010073500|2024-02-22|0315|128021824|98052|EDT BRITISH ROSE 100ML RENO A0X 2021|1.0|109.0|2024-02-22
LYB002099992|2024-02-22|0361|69012780|97899|SHAMPOO SHEA 250ML A0X RENO 2021|1.0|50.15|2024-02-22
LYB000144979|2024-02-22|0507|25104908|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB006824882|2024-02-22|0332|63013677|10256|EDP WHITE MUSK FREE 15ML A0X|1.0|89.0|2024-02-22
LYB003699142|2024-02-22|0907|4708320|23584|SHOWER CREAM SHEA 250ML A0X RENO 2022|1.0|35.7|2024-02-22
LYB010745874|2024-02-22|0310|129036709|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010216947|2024-02-22|0709|5508915|33592|SHAMPOO SHEA 400ML A0X RENO 2023|2.0|112.5|2024-02-22
LYB009193181|2024-02-22|0368|137030552|20018|DEODORANT ROLL ON ALOE 50ML RENO AX 2022|1.0|33.75|2024-02-22
LYB005601956|2024-02-22|0908|14306447|26074|SHOWER GEL OLIVE 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB002893185|2024-02-22|0345|43020526|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|0.0|2024-02-22
LYB009679955|2024-02-22|0315|121019183|98228|OOL OIL IN GEL CLNSR 100ML A0X 2021|1.0|60.0|2024-02-22
LYB002348463|2024-02-22|0315|121019169|97393|BODY LOTION SHEA 200ML A0X RENO 2021|1.0|60.0|2024-02-22
LYB010883509|2024-02-22|8801|83017179|98148|FRAGRANCE MIST WHITE MUSK LEAU 100ML RENO 2022|1.0|76.5|2024-02-22
LYB008409900|2024-02-22|0507|25104914|17271|SHOWER SCRUB BRITISH ROSE 50ML A0X RENO 2022|1.0|29.25|2024-02-22
LYB001695896|2024-02-22|0710|86016505|25600|DEODORANT ANTIPER BLUE MUSK ZEST 50ML AX|1.0|39.2|2024-02-22
LYB010559019|2024-02-22|0315|128021806|23547|SHOWER GEL SATSUMA 250ML A0X RENO 2023|1.0|35.7|2024-02-22
